epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3761,2.02741,2.11773,1.63117,0.71713,0.74439,0.75374,0.33923,1.67399,1.29541,1.42206,0.000329861,0.000329861,0.0673438
2,28.2643,1.62963,1.28245,1.30484,0.69132,0.78519,0.73531,0.37855,1.54799,1.19971,1.31663,0.000656629,0.000656629,0.0343372
3,40.4596,1.60683,1.2192,1.27701,0.72711,0.77689,0.77935,0.39992,1.49987,1.28674,1.31094,0.000976797,0.000976797,0.00132402
4,52.8317,1.56464,1.19397,1.24897,0.74633,0.78799,0.76197,0.38041,1.5623,1.2588,1.28739,0.0009703,0.0009703,0.0009703
5,64.9183,1.51253,1.12638,1.2332,0.8112,0.78381,0.77735,0.42774,1.44885,1.15169,1.28764,0.0009604,0.0009604,0.0009604
6,77.3976,1.4939,1.11548,1.20991,0.79542,0.80111,0.80113,0.41861,1.46431,1.08991,1.29552,0.0009505,0.0009505,0.0009505
7,89.7658,1.46496,1.1073,1.20394,0.77833,0.82219,0.80758,0.44212,1.41413,1.09052,1.1905,0.0009406,0.0009406,0.0009406
8,102.23,1.45193,1.09788,1.18798,0.79319,0.78276,0.79999,0.44143,1.39487,1.05306,1.19499,0.0009307,0.0009307,0.0009307
9,114.699,1.43833,1.07063,1.18057,0.78783,0.80741,0.79326,0.43076,1.4244,1.10559,1.19503,0.0009208,0.0009208,0.0009208
10,126.742,1.43132,1.0709,1.17253,0.68332,0.80177,0.79102,0.4344,1.36737,1.08805,1.16324,0.0009109,0.0009109,0.0009109
11,139.034,1.40472,1.04762,1.15648,0.77676,0.80023,0.81277,0.46666,1.37003,1.00597,1.16577,0.000901,0.000901,0.000901
12,151.507,1.39862,1.02892,1.15334,0.78032,0.81852,0.8078,0.44954,1.35365,1.05152,1.18682,0.0008911,0.0008911,0.0008911
13,163.524,1.38683,1.04016,1.15112,0.7974,0.81852,0.82758,0.46869,1.33147,1.02876,1.14545,0.0008812,0.0008812,0.0008812
14,175.797,1.38351,1.02104,1.14924,0.79755,0.79842,0.82619,0.47804,1.32966,0.99206,1.14351,0.0008713,0.0008713,0.0008713
15,188.14,1.38709,1.01648,1.14098,0.77931,0.80636,0.80532,0.41876,1.41625,1.09316,1.17989,0.0008614,0.0008614,0.0008614
16,200.241,1.37776,1.01604,1.14024,0.80536,0.80185,0.83875,0.4773,1.3139,0.98256,1.14222,0.0008515,0.0008515,0.0008515
17,212.543,1.36924,0.99948,1.12939,0.79251,0.82222,0.83859,0.47188,1.30522,0.99949,1.11849,0.0008416,0.0008416,0.0008416
18,224.61,1.34139,0.99245,1.1181,0.81179,0.83466,0.85092,0.48041,1.30064,0.9941,1.12198,0.0008317,0.0008317,0.0008317
19,237.131,1.33557,0.95997,1.12334,0.79143,0.83704,0.83537,0.4749,1.3343,0.94795,1.16411,0.0008218,0.0008218,0.0008218
20,249.331,1.33697,0.96688,1.11519,0.81764,0.83889,0.83211,0.4858,1.29989,0.96475,1.12326,0.0008119,0.0008119,0.0008119
21,261.793,1.3142,0.95946,1.10797,0.83575,0.82579,0.849,0.48551,1.28903,0.95816,1.10957,0.000802,0.000802,0.000802
22,274.111,1.31701,0.95961,1.1149,0.7914,0.82778,0.82027,0.45704,1.35043,0.98143,1.14894,0.0007921,0.0007921,0.0007921
23,286.525,1.31449,0.9473,1.11002,0.83864,0.85371,0.8459,0.49135,1.31625,0.93295,1.12237,0.0007822,0.0007822,0.0007822
24,298.943,1.2918,0.94035,1.09024,0.78712,0.78139,0.80947,0.46734,1.31998,1.00467,1.14689,0.0007723,0.0007723,0.0007723
25,310.889,1.29613,0.928,1.09264,0.79648,0.82593,0.84241,0.48657,1.29458,0.95127,1.12038,0.0007624,0.0007624,0.0007624
26,322.582,1.30061,0.94713,1.09385,0.81161,0.82407,0.83326,0.48245,1.2771,0.99836,1.1013,0.0007525,0.0007525,0.0007525
27,334.719,1.28108,0.92601,1.08642,0.77324,0.83519,0.83243,0.47099,1.31288,0.96295,1.11262,0.0007426,0.0007426,0.0007426
28,346.793,1.28395,0.92398,1.08915,0.8302,0.83786,0.85122,0.50914,1.24418,0.91115,1.08244,0.0007327,0.0007327,0.0007327
29,359.087,1.27139,0.90417,1.08908,0.79841,0.85384,0.85152,0.50752,1.27372,0.92993,1.09168,0.0007228,0.0007228,0.0007228
30,371.061,1.28221,0.90556,1.07475,0.81648,0.8351,0.83788,0.50203,1.25791,0.90776,1.11745,0.0007129,0.0007129,0.0007129
31,383.382,1.27299,0.92371,1.08482,0.82904,0.8455,0.85677,0.50805,1.26413,0.92877,1.09156,0.000703,0.000703,0.000703
32,395.64,1.27667,0.90456,1.08388,0.82146,0.83333,0.83855,0.49815,1.30436,0.89877,1.12323,0.0006931,0.0006931,0.0006931
33,407.715,1.24641,0.88164,1.07234,0.78963,0.82344,0.83114,0.50394,1.22961,0.92951,1.09372,0.0006832,0.0006832,0.0006832
34,420.167,1.24,0.88383,1.06752,0.82604,0.83533,0.85074,0.49562,1.29091,0.93038,1.13194,0.0006733,0.0006733,0.0006733
35,432.362,1.25861,0.88956,1.08269,0.82244,0.86766,0.87238,0.52181,1.24814,0.91997,1.09337,0.0006634,0.0006634,0.0006634
36,444.575,1.24469,0.86927,1.06931,0.83222,0.85117,0.87061,0.52333,1.2662,0.86255,1.09882,0.0006535,0.0006535,0.0006535
37,457.28,1.24014,0.88081,1.07366,0.78138,0.84907,0.85208,0.49526,1.29501,0.93616,1.1023,0.0006436,0.0006436,0.0006436
38,468.997,1.2367,0.87628,1.0697,0.79528,0.83036,0.83542,0.49285,1.24693,0.93261,1.11507,0.0006337,0.0006337,0.0006337
39,481.069,1.22032,0.86375,1.05667,0.8256,0.8537,0.86014,0.51315,1.22157,0.8735,1.08397,0.0006238,0.0006238,0.0006238
40,493.089,1.25094,0.86527,1.07609,0.79609,0.83521,0.84371,0.49084,1.30342,0.92247,1.13422,0.0006139,0.0006139,0.0006139
41,505.271,1.22615,0.86428,1.05737,0.80128,0.86111,0.85474,0.50887,1.26196,0.89749,1.09547,0.000604,0.000604,0.000604
42,517.617,1.20356,0.84586,1.04703,0.78259,0.84568,0.84117,0.50269,1.25597,0.90948,1.1034,0.0005941,0.0005941,0.0005941
43,529.647,1.19897,0.83448,1.06133,0.81343,0.82778,0.86016,0.51647,1.24779,0.91128,1.10325,0.0005842,0.0005842,0.0005842
44,542.003,1.20457,0.83428,1.04921,0.78842,0.85,0.85301,0.50924,1.25379,0.88952,1.09952,0.0005743,0.0005743,0.0005743
45,554.455,1.21143,0.84697,1.05066,0.80622,0.86046,0.87224,0.52162,1.26054,0.86714,1.11719,0.0005644,0.0005644,0.0005644
46,566.593,1.21433,0.84801,1.0496,0.83185,0.87037,0.87205,0.53975,1.22304,0.84625,1.08112,0.0005545,0.0005545,0.0005545
47,578.851,1.19288,0.83359,1.04606,0.82961,0.85185,0.86768,0.51509,1.22294,0.91494,1.07987,0.0005446,0.0005446,0.0005446
48,591.046,1.1792,0.84111,1.04011,0.81091,0.84166,0.87078,0.51931,1.24162,0.88383,1.10863,0.0005347,0.0005347,0.0005347
49,602.945,1.18424,0.81542,1.0414,0.81148,0.84259,0.87917,0.52818,1.22872,0.87228,1.08505,0.0005248,0.0005248,0.0005248
50,614.917,1.17824,0.82273,1.0426,0.77345,0.86559,0.86231,0.51665,1.21812,0.88014,1.0922,0.0005149,0.0005149,0.0005149
51,626.921,1.17856,0.80879,1.04531,0.7816,0.85409,0.83693,0.50022,1.20904,0.8874,1.07968,0.000505,0.000505,0.000505
52,639.339,1.17224,0.80661,1.03959,0.8159,0.85806,0.87148,0.54361,1.21915,0.8217,1.11182,0.0004951,0.0004951,0.0004951
53,651.675,1.16723,0.79605,1.03575,0.78847,0.86073,0.86421,0.53336,1.22316,0.83673,1.08866,0.0004852,0.0004852,0.0004852
54,663.998,1.16468,0.79428,1.03808,0.80534,0.88846,0.87565,0.52835,1.22068,0.84289,1.08222,0.0004753,0.0004753,0.0004753
55,676.177,1.15173,0.7926,1.0353,0.81387,0.84976,0.86765,0.52239,1.22888,0.84979,1.07701,0.0004654,0.0004654,0.0004654
56,688.316,1.16087,0.78474,1.03864,0.80651,0.86111,0.86133,0.52421,1.21211,0.87746,1.08496,0.0004555,0.0004555,0.0004555
57,700.287,1.15102,0.78437,1.02495,0.80761,0.84218,0.85893,0.53755,1.18139,0.85192,1.07975,0.0004456,0.0004456,0.0004456
58,712.487,1.12854,0.76058,1.02529,0.83976,0.85225,0.88049,0.53253,1.21358,0.82962,1.08906,0.0004357,0.0004357,0.0004357
59,724.668,1.14406,0.78923,1.03454,0.7724,0.87246,0.85724,0.52552,1.21027,0.84827,1.08545,0.0004258,0.0004258,0.0004258
60,736.737,1.11953,0.76388,1.02413,0.80999,0.83886,0.86489,0.53214,1.21773,0.83206,1.08028,0.0004159,0.0004159,0.0004159
