check_id,image_path,crop_path,label,confidence,x1,y1,x2,y2,status
ac00000,CheckImages\ac00000.tif,outputs\part_b\crops\train\ac00000.png,48626,0.869250,901.60,222.42,1139.15,280.19,ok
ac00001,CheckImages\ac00001.tif,outputs\part_b\crops\train\ac00001.png,1350,0.831483,859.25,213.60,985.90,243.99,ok
ac00002,CheckImages\ac00002.tif,outputs\part_b\crops\train\ac00002.png,1500,0.741243,1864.23,478.26,2071.34,548.62,ok
ac00003,CheckImages\ac00003.tif,outputs\part_b\crops\train\ac00003.png,2415,0.677228,836.05,222.90,949.15,257.94,ok
ac00004,CheckImages\ac00004.tif,outputs\part_b\crops\train\ac00004.png,4500,0.798808,919.60,233.54,1111.50,269.07,ok
ac00005,CheckImages\ac00005.tif,outputs\part_b\crops\train\ac00005.png,4650,0.750925,905.83,226.65,1038.89,260.20,ok
ac00006,CheckImages\ac00006.tif,outputs\part_b\crops\train\ac00006.png,4000,0.883822,906.76,221.22,1060.40,264.22,ok
ac00007,CheckImages\ac00007.tif,outputs\part_b\crops\train\ac00007.png,2550,0.740731,916.98,221.76,1039.12,252.71,ok
ac00008,CheckImages\ac00008.tif,outputs\part_b\crops\train\ac00008.png,1250,0.846350,889.49,214.83,1027.57,253.97,ok
ac00009,CheckImages\ac00009.tif,outputs\part_b\crops\train\ac00009.png,8000,0.792086,922.28,235.60,1047.77,271.25,ok
ac00010,CheckImages\ac00010.tif,outputs\part_b\crops\train\ac00010.png,1250,0.776389,876.40,229.07,1076.22,275.03,ok
ac00011,CheckImages\ac00011.tif,outputs\part_b\crops\train\ac00011.png,624260,0.868566,1888.19,473.54,2291.72,551.07,ok
ac00012,CheckImages\ac00012.tif,outputs\part_b\crops\train\ac00012.png,1082985,0.891138,912.93,223.82,1131.04,266.57,ok
ac00013,CheckImages\ac00013.tif,outputs\part_b\crops\train\ac00013.png,3000,0.800189,948.16,229.75,1076.83,259.67,ok
ac00014,CheckImages\ac00014.tif,outputs\part_b\crops\train\ac00014.png,3003,0.808602,821.08,220.35,923.14,270.67,ok
ac00015,CheckImages\ac00015.tif,outputs\part_b\crops\train\ac00015.png,1001,0.836679,811.51,220.04,925.67,267.34,ok
ac00016,CheckImages\ac00016.tif,outputs\part_b\crops\train\ac00016.png,22610,0.787281,1912.31,495.19,2246.93,553.36,ok
ac00017,CheckImages\ac00017.tif,outputs\part_b\crops\train\ac00017.png,1000,0.730166,1755.91,488.85,2145.32,563.00,ok
ac00018,CheckImages\ac00018.tif,outputs\part_b\crops\train\ac00018.png,4200,0.846455,1999.27,460.00,2339.79,540.05,ok
ac00019,CheckImages\ac00019.tif,outputs\part_b\crops\train\ac00019.png,4500,0.729938,1903.12,476.99,2068.12,534.02,ok
ac00020,CheckImages\ac00020.tif,outputs\part_b\crops\train\ac00020.png,5062,0.717599,915.71,233.63,1016.80,259.50,ok
ac00021,CheckImages\ac00021.tif,outputs\part_b\crops\train\ac00021.png,557375,0.891453,1886.90,450.26,2293.59,535.46,ok
ac00022,CheckImages\ac00022.tif,outputs\part_b\crops\train\ac00022.png,600250,0.904962,919.35,225.66,1132.21,281.81,ok
ac00023,CheckImages\ac00023.tif,outputs\part_b\crops\train\ac00023.png,5520,0.829959,1902.93,458.98,2203.08,535.73,ok
ac00024,CheckImages\ac00024.tif,outputs\part_b\crops\train\ac00024.png,15309,0.862284,1867.50,457.16,2191.04,547.84,ok
ac00025,CheckImages\ac00025.tif,outputs\part_b\crops\train\ac00025.png,40000,0.835841,1681.52,441.57,1912.49,522.24,ok
ac00026,CheckImages\ac00026.tif,outputs\part_b\crops\train\ac00026.png,180500,0.717816,1683.68,452.33,2140.08,522.51,ok
ac00027,CheckImages\ac00027.tif,outputs\part_b\crops\train\ac00027.png,14725,0.848872,821.04,214.79,930.41,250.89,ok
ac00028,CheckImages\ac00028.tif,outputs\part_b\crops\train\ac00028.png,1661,0.675498,962.76,233.31,1065.26,257.50,ok
ac00029,CheckImages\ac00029.tif,outputs\part_b\crops\train\ac00029.png,308000,0.804729,839.66,216.90,987.20,250.41,ok
ac00030,CheckImages\ac00030.tif,outputs\part_b\crops\train\ac00030.png,11220,0.802677,849.58,214.27,989.62,255.21,ok
ac00031,CheckImages\ac00031.tif,outputs\part_b\crops\train\ac00031.png,830,0.777708,889.35,233.89,983.42,260.37,ok
ac00032,CheckImages\ac00032.tif,outputs\part_b\crops\train\ac00032.png,1740,0.755838,910.96,240.08,1010.98,264.94,ok
ac00033,CheckImages\ac00033.tif,outputs\part_b\crops\train\ac00033.png,5000,0.844346,904.36,221.71,1037.56,269.01,ok
ac00034,CheckImages\ac00034.tif,outputs\part_b\crops\train\ac00034.png,3622,0.849256,1855.47,463.98,2222.01,575.22,ok
ac00035,CheckImages\ac00035.tif,outputs\part_b\crops\train\ac00035.png,28000,0.856882,891.46,218.15,1074.90,269.31,ok
ac00036,CheckImages\ac00036.tif,outputs\part_b\crops\train\ac00036.png,14600,0.665152,973.12,222.57,1085.40,248.17,ok
ac00037,CheckImages\ac00037.tif,outputs\part_b\crops\train\ac00037.png,109000,0.495101,839.09,209.78,910.15,243.45,ok
ac00038,CheckImages\ac00038.tif,outputs\part_b\crops\train\ac00038.png,6000,0.872250,908.34,225.15,1026.54,268.37,ok
ac00039,CheckImages\ac00039.tif,outputs\part_b\crops\train\ac00039.png,3500,0.571882,1782.63,484.08,2162.47,555.75,ok
ac00040,CheckImages\ac00040.tif,outputs\part_b\crops\train\ac00040.png,8615,0.841204,906.80,228.89,1095.40,260.15,ok
ac00041,CheckImages\ac00041.tif,outputs\part_b\crops\train\ac00041.png,84765,0.854862,895.10,222.50,1096.57,266.58,ok
ac00042,CheckImages\ac00042.tif,outputs\part_b\crops\train\ac00042.png,73800,0.683867,900.76,221.17,1142.32,279.13,ok
ac00043,CheckImages\ac00043.tif,outputs\part_b\crops\train\ac00043.png,13323,0.822067,910.59,225.57,1066.63,275.43,ok
ac00044,CheckImages\ac00044.tif,outputs\part_b\crops\train\ac00044.png,38500,0.720249,1889.28,457.91,2292.88,535.41,ok
ac00045,CheckImages\ac00045.tif,outputs\part_b\crops\train\ac00045.png,5000,0.817263,903.80,224.28,1092.87,264.19,ok
ac00046,CheckImages\ac00046.tif,outputs\part_b\crops\train\ac00046.png,9521,0.881270,921.58,222.23,1130.41,264.70,ok
ac00047,CheckImages\ac00047.tif,outputs\part_b\crops\train\ac00047.png,9120,0.690542,821.86,223.18,946.75,262.40,ok
ac00048,CheckImages\ac00048.tif,,,,,,,,missed
ac00049,CheckImages\ac00049.tif,outputs\part_b\crops\train\ac00049.png,6100,0.824928,896.07,216.98,1038.14,265.93,ok
ac00050,CheckImages\ac00050.tif,outputs\part_b\crops\train\ac00050.png,200000,0.859344,827.37,212.21,1000.92,258.80,ok
ac00051,CheckImages\ac00051.tif,outputs\part_b\crops\train\ac00051.png,70000,0.868724,906.11,222.32,1077.32,266.37,ok
