check_id,crop_path,label
ac00490,outputs\part_c\crops\train\ac00490.png,ثلاثمايه ريالا فقط
ac01392,outputs\part_c\crops\train\ac01392.png,فقط احدي عشره الف وخمسمايه ريال لا غير
ac01368,outputs\part_c\crops\train\ac01368.png,وقدره ثمانيه الاف وثمانمايه وسبعه ريال لا غير
ac01157,outputs\part_c\crops\train\ac01157.png,اربعمايه و خمسون ريال لا غير
ac00973,outputs\part_c\crops\train\ac00973.png,خمسون الف فقط لا غير
ac01577,outputs\part_c\crops\train\ac01577.png,خمسه الاف وثمانمايه وثمانيه وعشرون ريالا لا غير
ac01578,outputs\part_c\crops\train\ac01578.png,سبعه عشر الفا ومايه وسته وخمسون ريالا و 77 هلله
ac00682,outputs\part_c\crops\train\ac00682.png,فقط الف ومايه وسته عشر ريال
ac00068,outputs\part_c\crops\train\ac00068.png,و قدره الف و ثمانمايه ريال لا غير
ac01774,outputs\part_c\crops\train\ac01774.png,فقط الفين وستمايه وتسعون ريال لا غير
ac01108,outputs\part_c\crops\train\ac01108.png,سبعه الف ومايتان وخمس وسبعون ريال فقط
ac01742,outputs\part_c\crops\train\ac01742.png,فقط واحد مليون ريال سعودي لا غير
ac00091,outputs\part_c\crops\train\ac00091.png,فقط عشره الاف ريال لا غير
ac00130,outputs\part_c\crops\train\ac00130.png,الفين وثمانمايه ريال فقط
ac01520,outputs\part_c\crops\train\ac01520.png,وقدره سته الاف واربعمايه واثنان وسبعون ريال فقط
ac00888,outputs\part_c\crops\train\ac00888.png,فقط اربعه ملايين ريال لا غير
ac00075,outputs\part_c\crops\train\ac00075.png,فقط خمسه الف و خمسمايه و سته و سبعون ريال
ac00410,outputs\part_c\crops\train\ac00410.png,خمسمايه وسبعه وسبعون ريال لا غير
ac00824,outputs\part_c\crops\train\ac00824.png,ثلاثه الاف و ثلاثمايه و خمسه و تسعون ريالا
ac01724,outputs\part_c\crops\train\ac01724.png,ثلاثه الاف وخمسمايه ريال
ac00568,outputs\part_c\crops\train\ac00568.png,فقط سته و ثلاثون الف و ستمايه ريال لا غير
ac00523,outputs\part_c\crops\train\ac00523.png,خمسه الاف ريال فقط لا غير
ac01420,outputs\part_c\crops\train\ac01420.png,سته الاف ومايه خمسه وثلاثون ريال 69 100 لا غير
ac01514,outputs\part_c\crops\train\ac01514.png,فقط تسعه عشر الف واربعمايه واربعون ريال لا غير
ac01720,outputs\part_c\crops\train\ac01720.png,الفين وايه وخمسه وعشرون ريال لا غير
ac01091,outputs\part_c\crops\train\ac01091.png,مايه وثلاثه وسبعون الف ريال لا غير
ac00933,outputs\part_c\crops\train\ac00933.png,فقط خمسه وثلاثون الفا و مايه وخمسه وثمانون ريالا لا غير
ac00035,outputs\part_c\crops\train\ac00035.png,ثمانيه و عشرون الف ريال لا غير
ac01267,outputs\part_c\crops\train\ac01267.png,خمسه الاف وخمسمايه وثلاثه وسبعون ريال 75 هلله
ac00665,outputs\part_c\crops\train\ac00665.png,فقط مايتين واربعون االف ريال
ac01799,outputs\part_c\crops\train\ac01799.png,فقط تسعه الاف وخمسمايه وثمانيه عشر ريالا لا غير
ac01051,outputs\part_c\crops\train\ac01051.png,الف اربعمايه وعشرون ريالا لا غير
ac01732,outputs\part_c\crops\train\ac01732.png,فقط ثلاثون الفا وتسعمايه وتسعه وثمانون ريالا لا غير
ac01367,outputs\part_c\crops\train\ac01367.png,خمسه الاف ومايه ريال لا غير
ac00995,outputs\part_c\crops\train\ac00995.png,عشرون الف ريالا لا غير دفعه علي الحساب
ac00664,outputs\part_c\crops\train\ac00664.png,فقط ثلاثه الف وثلاثمايه ريال
ac01653,outputs\part_c\crops\train\ac01653.png,ثمانمايه وثمانون ريال فقط
ac01741,outputs\part_c\crops\train\ac01741.png,سته الاف وستمايه ريال فقط
ac00110,outputs\part_c\crops\train\ac00110.png,سته الاف وخمسه وسبعون ريال فقط لا غير
ac00852,outputs\part_c\crops\train\ac00852.png,و فقط سبعه الاف و خمسمايه ريال لا غير
ac00494,outputs\part_c\crops\train\ac00494.png,فقط اربعه الاف ريال لا غير
ac01513,outputs\part_c\crops\train\ac01513.png,سبعه الاف ومايه وخمسه وثمانون ريالا
ac00063,outputs\part_c\crops\train\ac00063.png,فقط ثلاثه الاف و ثمانمايه ثمانيه و تسعون ريال 60 100
ac00099,outputs\part_c\crops\train\ac00099.png,قدره ميتان و سته عشره ريال
ac01255,outputs\part_c\crops\train\ac01255.png,اثنا عشر الف ريال فقط لا غير
ac00499,outputs\part_c\crops\train\ac00499.png,اربعه وخمسون الف وستمايه وثمانيه وسبعون ريال وثلاث وعشرون هلله فقط
ac00031,outputs\part_c\crops\train\ac00031.png,فقط ثمانمايه و ثلاثون ريال لا غير
ac00920,outputs\part_c\crops\train\ac00920.png,فقط سبعمايه وثمانيه ريال
ac00905,outputs\part_c\crops\train\ac00905.png,فقط ثلاثه الاف و اربعمايه و اربعه ريالات و هلله 76
ac00940,outputs\part_c\crops\train\ac00940.png,ثلاثه وعشرون الف واربع مايه وثمانيه وسبعون ريال فقط لا غير
ac00486,outputs\part_c\crops\train\ac00486.png,وقدره اربعه الاف وتسعمايه واثنان وستون ريال
ac00359,outputs\part_c\crops\train\ac00359.png,ثلاثه الاف و خمسمايه ريال لا غير
ac00723,outputs\part_c\crops\train\ac00723.png,ثلاثه عشره الف ومايه واربعه واربعون ريال
ac00759,outputs\part_c\crops\train\ac00759.png,قدره الفان ومايه وتسعه عشر ريال
ac01316,outputs\part_c\crops\train\ac01316.png,فقط تسعه الاف و مايتين و ثمانيه و ثلثون ريال لا
ac00971,outputs\part_c\crops\train\ac00971.png,الف و ستمايه وخمسه وثمانون ريال 56 هلله
ac00230,outputs\part_c\crops\train\ac00230.png,وقدره خمسه عشر الف و خمسمايه ريال فقط لا غير
ac00113,outputs\part_c\crops\train\ac00113.png,ستمايه ريال لا غير
ac00812,outputs\part_c\crops\train\ac00812.png,خمسه الاف و ستمايه و ثمانيه و تسعون ريالا
ac01126,outputs\part_c\crops\train\ac01126.png,فقط الف و ستمايه و سته ريال لا غير
ac01386,outputs\part_c\crops\train\ac01386.png,الف ريال فقط لا غير
ac01373,outputs\part_c\crops\train\ac01373.png,ثلاثه وعشرون الفا فقط لا غير
ac01249,outputs\part_c\crops\train\ac01249.png,فقط ثلاثه الاف وتسعمايه وسته واربعون ريال لا غير
ac00320,outputs\part_c\crops\train\ac00320.png,فقط مليون وخمسمايه الف ريال لا غير
ac01224,outputs\part_c\crops\train\ac01224.png,فقط ستمايه ريال لا غير
ac01621,outputs\part_c\crops\train\ac01621.png,احدي عشر الف واربع ميه ريال فقط لا غير
ac01223,outputs\part_c\crops\train\ac01223.png,فقط الف وتسعون ريال لا غير
ac00848,outputs\part_c\crops\train\ac00848.png,فقط اربعه الاف ريال لا غير
ac01743,outputs\part_c\crops\train\ac01743.png,الف ومايتان وثمانون ريال لا غير
ac01107,outputs\part_c\crops\train\ac01107.png,تسعه الف وست مايه ريال لا غير
ac00898,outputs\part_c\crops\train\ac00898.png,خمسه و خمسون الف و ثلاثمايه و سته و ثلاثون ريال لا غير
ac00594,outputs\part_c\crops\train\ac00594.png,سته الاف ريال فقط
ac00217,outputs\part_c\crops\train\ac00217.png,ثمانيه و اربعون الف ريال فقط لا غير
ac00279,outputs\part_c\crops\train\ac00279.png,فقط مليونا ريال لا غير
ac01597,outputs\part_c\crops\train\ac01597.png,فقط ثلاثه الاف ومايتان واربعون ريال لا غير
ac01445,outputs\part_c\crops\train\ac01445.png,خمسه الاف وسبعمايه ريال لا غير
ac01073,outputs\part_c\crops\train\ac01073.png,ثمانمايه وخمس وثلاثون ريال لا غير
ac01726,outputs\part_c\crops\train\ac01726.png,ثلاثه الاف وميتان وثمانون ريال
ac00794,outputs\part_c\crops\train\ac00794.png,فقط اربعه الاف وسبعمايه واربعه وسبعون ريال لا غير
ac00924,outputs\part_c\crops\train\ac00924.png,الف وتسعمايه اثنين وربعون ريال لا غير
ac00070,outputs\part_c\crops\train\ac00070.png,وقدره ثلاثه الاف و اربعمايه و تسعون ريال لا غير
ac00768,outputs\part_c\crops\train\ac00768.png,فقط الف وتسعمايه ريال لا غير
ac01357,outputs\part_c\crops\train\ac01357.png,الف ومايتان وثمانيه وستون ريال لا غير
ac00050,outputs\part_c\crops\train\ac00050.png,و قدره مايتان الف ريال لا غير
ac00708,outputs\part_c\crops\train\ac00708.png,الفان وسبعمايه وخمسون ريال فقط لا غير
ac00255,outputs\part_c\crops\train\ac00255.png,ثلاثه الاف وتسعمايه و سبعه ريال
ac00638,outputs\part_c\crops\train\ac00638.png,سته الاف واربعمايه ريال فقط
ac01347,outputs\part_c\crops\train\ac01347.png,خمسه الاف ومايه واربعه وثمانون ريال
ac01640,outputs\part_c\crops\train\ac01640.png,فقط اربعه الف ريال لا غير
ac01698,outputs\part_c\crops\train\ac01698.png,فقط خمسه عشر الف ريال لا غير
ac01701,outputs\part_c\crops\train\ac01701.png,فقط خمسه الف ريال لا غير
ac01762,outputs\part_c\crops\train\ac01762.png,ثمانيه عشر الف وست مايه وخمسون ريال فقط
ac00596,outputs\part_c\crops\train\ac00596.png,اربعمايه و سته عشر ريال و خمسون هلله لا غير
ac01511,outputs\part_c\crops\train\ac01511.png,فقط تسعمايه وخمسون ريال لا غير
ac00366,outputs\part_c\crops\train\ac00366.png,فقط الف و ثلاثمايه و اثنان و ثمانون ريال لا غير
ac01296,outputs\part_c\crops\train\ac01296.png,فقط احدي عشر الف وسبعمايه وثمانيه عشر
ac01551,outputs\part_c\crops\train\ac01551.png,فقط تسعه الف وستمايه ريال لا غير
ac00642,outputs\part_c\crops\train\ac00642.png,فقط سبعه الف وسبعمايه وخمسه وثلاثون ريال لا غير
ac00032,outputs\part_c\crops\train\ac00032.png,فقط الف و سبعمايه و اربعون ريال لا غير
ac01168,outputs\part_c\crops\train\ac01168.png,فقط خمسه الاف و خمسمايه ريال
ac00115,outputs\part_c\crops\train\ac00115.png,اربعه الاف وثلاثمايه وخمسه واربعون ريال فقط
