check_id,image_path,crop_path,label,confidence,x1,y1,x2,y2,status
ac00000,CheckImages\ac00000.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00000.png,48626,0.871687,902.29,221.70,1139.58,279.75,ok
ac00001,CheckImages\ac00001.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00001.png,1350,0.834458,859.21,213.47,985.94,244.08,ok
ac00002,CheckImages\ac00002.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00002.png,1500,0.741174,1864.23,478.26,2071.34,548.62,ok
ac00003,CheckImages\ac00003.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00003.png,2415,0.677174,836.05,222.90,949.15,257.94,ok
ac00004,CheckImages\ac00004.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00004.png,4500,0.798781,919.60,233.54,1111.49,269.08,ok
ac00005,CheckImages\ac00005.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00005.png,4650,0.750894,905.83,226.65,1038.89,260.20,ok
ac00006,CheckImages\ac00006.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00006.png,4000,0.884046,906.80,221.31,1060.09,264.25,ok
ac00007,CheckImages\ac00007.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00007.png,2550,0.741101,916.69,221.47,1039.51,252.81,ok
ac00008,CheckImages\ac00008.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00008.png,1250,0.847448,889.54,214.67,1027.88,254.17,ok
ac00009,CheckImages\ac00009.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00009.png,8000,0.800802,922.91,237.18,1047.95,272.08,ok
ac00010,CheckImages\ac00010.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00010.png,1250,0.776363,876.40,229.07,1076.22,275.03,ok
ac00011,CheckImages\ac00011.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00011.png,624260,0.868550,1888.21,473.54,2291.72,551.07,ok
ac00012,CheckImages\ac00012.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00012.png,1082985,0.891129,912.93,223.82,1131.04,266.56,ok
ac00013,CheckImages\ac00013.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00013.png,3000,0.800223,948.16,229.75,1076.83,259.67,ok
ac00014,CheckImages\ac00014.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00014.png,3003,0.808515,821.08,220.35,923.14,270.67,ok
ac00015,CheckImages\ac00015.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00015.png,1001,0.836644,811.51,220.04,925.67,267.34,ok
ac00016,CheckImages\ac00016.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00016.png,22610,0.787251,1912.31,495.19,2246.94,553.36,ok
ac00017,CheckImages\ac00017.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00017.png,1000,0.730287,1755.92,488.86,2145.32,562.99,ok
ac00018,CheckImages\ac00018.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00018.png,4200,0.846471,1999.27,460.00,2339.80,540.05,ok
ac00019,CheckImages\ac00019.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00019.png,4500,0.729968,1903.13,476.99,2068.11,534.02,ok
ac00020,CheckImages\ac00020.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00020.png,5062,0.717629,915.71,233.63,1016.80,259.50,ok
ac00021,CheckImages\ac00021.tif,arabic_check_pipeline\part_b_courtesy_ocr\outputs\crops\train\ac00021.png,557375,0.891455,1886.89,450.26,2293.59,535.47,ok
